'Player';'Nationality';'Pos';'Club';'Age';'Born';'MP';'Starts';'Min';'90s';'Goals';'Assists';'G+A';'CrdYellow';'CrdRed';'xG';'xAG';;''Age'';''Born'';''MP'';''Starts'';''Min'';''90s'';''Goals'';''Assists'';''G+A'';''CrdYellow'';''CrdRed'';''xG'';''xAG''
'David Neres';'BRA';'FW,MF';'Benfica';25;1997;9;4;444;4.9;3;1;4;2;0;1.9;1.2;;''David Neres'';''BRA'';''FW,MF'';''Benfica'';;;;;;;;;
'Luis Neto';'POR';'DF';'Sporting CP';34;1988;1;0;39;0.4;0;0;0;0;0;0.1;0;;''Luis Neto'';''POR'';''DF'';''Sporting CP'';;;;;;;;;
'Manuel Neuer';'GER';'GK';'Bayern Munich';36;1986;3;3;270;3;0;0;0;0;0;0;0;;''Manuel Neuer'';''GER'';''GK'';''Bayern Munich'';;;;;;;;;
'Joao Neves';'POR';'FW,MF';'Benfica';17;2004;3;0;29;0.3;0;1;1;0;0;0;0.1;;''Joao Neves'';''POR'';''FW,MF'';''Benfica'';;;;;;;;;
'Neymar';'BRA';'MF,FW';'Paris S-G';30;1992;6;6;539;6;2;2;4;4;0;2.1;1.6;;''Neymar'';''BRA'';''MF,FW'';''Paris S-G'';;;;;;;;;
'Tanguy Nianzou';'FRA';'DF';'Sevilla';20;2002;2;2;180;2;1;0;1;0;0;0.1;0.4;;''Tanguy Nianzou'';''FRA'';''DF'';''Sevilla'';;;;;;;;;
'Casper Nielsen';'DEN';'MF';'Club Brugge';28;1994;8;7;645;7.2;0;1;1;2;0;0.5;0.6;;''Casper Nielsen'';''DEN'';''MF'';''Club Brugge'';;;;;;;;;
'Saul ni­guez';'ESP';'MF,DF';'Atletico Madrid';27;1994;5;4;281;3.1;0;0;0;0;0;0.6;0.1;;''Saul ni­guez'';''ESP'';''MF,DF'';''Atletico Madrid'';;;;;;;;;
'Christopher Nkunku';'FRA';'MF,FW';'RB Leipzig';24;1997;7;6;562;6.2;3;1;4;1;0;1.6;2.5;;''Christopher Nkunku'';''FRA'';''MF,FW'';''RB Leipzig'';;;;;;;;;
'Hugo Novoa';'ESP';'MF';'RB Leipzig';19;2003;1;0;3;0;0;0;0;0;0;0;0;;''Hugo Novoa'';''ESP'';''MF'';''RB Leipzig'';;;;;;;;;
'Darwin Nunez';'URU';'FW';'Liverpool';23;1999;8;5;399;4.4;4;1;5;1;0;5;0.1;;''Darwin Nunez'';''URU'';''FW'';''Liverpool'';;;;;;;;;
'Antonio Nusa';'NOR';'FW';'Club Brugge';17;2005;4;0;57;0.6;1;0;1;0;0;0.3;0;;''Antonio Nusa'';''NOR'';''FW'';''Club Brugge'';;;;;;;;;
'Matt O'Riley';'DEN';'MF';'Celtic';21;2000;6;6;481;5.3;0;0;0;2;0;0.9;0.5;;''Matt O'Riley'';''DEN'';''MF'';''Celtic'';;;;;;;;;
'Jan Oblak';'SVN';'GK';'Atletico Madrid';29;1993;5;5;450;5;0;0;0;0;0;0;0;;''Jan Oblak'';''SVN'';''GK'';''Atletico Madrid'';;;;;;;;;
'Lucas Ocampos';'ARG';'FW';'Ajax';28;1994;2;0;17;0.2;0;0;0;0;0;0.1;0;;''Lucas Ocampos'';''ARG'';''FW'';''Ajax'';;;;;;;;;
'Oleh Ocheretko';'UKR';'MF';'Shakhtar';19;2003;1;0;14;0.2;0;0;0;0;0;0.1;0;;''Oleh Ocheretko'';''UKR'';''MF'';''Shakhtar'';;;;;;;;;
'Denis Odoi';'GHA';'DF,MF';'Club Brugge';34;1988;7;6;523;5.8;0;0;0;4;0;0.1;0.1;;''Denis Odoi'';''GHA'';''DF,MF'';''Club Brugge'';;;;;;;;;
'Noah Okafor';'SUI';'FW';'RB Salzburg';22;2000;6;6;465;5.2;3;0;3;1;0;1.7;0.5;;''Noah Okafor'';''SUI'';''FW'';''RB Salzburg'';;;;;;;;;
'Mathias Olivera';'URU';'DF';'Napoli';24;1997;8;5;514;5.7;0;2;2;1;0;0.6;0.7;;''Mathias Olivera'';''URU'';''DF'';''Napoli'';;;;;;;;;
'Dani Olmo';'ESP';'FW,MF';'RB Leipzig';24;1998;3;0;65;0.7;0;0;0;0;0;0.1;0.1;;''Dani Olmo'';''ESP'';''FW,MF'';''RB Leipzig'';;;;;;;;;
'Andre Onana';'CMR';'GK';'Inter';26;1996;13;13;1 170;13;0;0;0;2;0;0;0;;''Andre Onana'';''CMR'';''GK'';''Inter'';;;;;;;;;
'Raphael Onyedika';'NGA';'MF';'Club Brugge';21;2001;7;6;567;6.3;0;0;0;3;0;0.6;0.1;;''Raphael Onyedika'';''NGA'';''MF'';''Club Brugge'';;;;;;;;;
'Willi Orban';'HUN';'DF';'RB Leipzig';29;1992;8;8;720;8;0;0;0;0;0;0.4;0.1;;''Willi Orban'';''HUN'';''DF'';''RB Leipzig'';;;;;;;;;
'Divock Origi';'BEL';'FW';'Milan';27;1995;8;0;154;1.7;0;0;0;1;0;0.7;0.2;;''Divock Origi'';''BEL'';''FW'';''Milan'';;;;;;;;;
'Mislav Orsic';'CRO';'FW';'Dinamo Zagreb';29;1992;6;6;490;5.4;2;0;2;1;0;1.1;0.3;;''Mislav Orsic'';''CRO'';''FW'';''Dinamo Zagreb'';;;;;;;;;
'Stefan Ortega';'GER';'GK';'Manchester City';29;1992;2;2;180;2;0;0;0;0;0;0;0;;''Stefan Ortega'';''GER'';''GK'';''Manchester City'';;;;;;;;;
'Victor Osimhen';'NGA';'FW';'Napoli';23;1998;6;5;421;4.7;5;0;5;1;0;4.9;0.5;;''Victor Osimhen'';''NGA'';''FW'';''Napoli'';;;;;;;;;
'Nicolas Otamendi';'ARG';'DF';'Benfica';34;1988;9;9;793;8.8;0;1;1;3;0;0.3;0.6;;''Nicolas Otamendi'';''ARG'';''DF'';''Benfica'';;;;;;;;;
'Otavio';'POR';'MF';'Porto';27;1995;7;6;526;5.8;0;2;2;3;1;0.7;1.5;;''Otavio'';''POR'';''MF'';''Porto'';;;;;;;;;
'Alex Oxlade-Chamberlain';'ENG';'MF';'Liverpool';28;1993;1;0;18;0.2;0;0;0;0;0;0;0;;''Alex Oxlade-Chamberlain'';''ENG'';''MF'';''Liverpool'';;;;;;;;;
'Salih Ozcan';'TUR';'MF';'Dortmund';24;1998;7;7;541;6;0;1;1;4;0;0.1;0.8;;''Salih Ozcan'';''TUR'';''MF'';''Dortmund'';;;;;;;;;
'Exequiel Palacios';'ARG';'MF';'Leverkusen';23;1998;2;1;90;1;0;0;0;2;0;0;0;;''Exequiel Palacios'';''ARG'';''MF'';''Leverkusen'';;;;;;;;;
'Cole Palmer';'ENG';'MF,FW';'Manchester City';20;2002;4;1;138;1.5;0;0;0;0;0;0.3;0;;''Cole Palmer'';''ENG'';''MF,FW'';''Manchester City'';;;;;;;;;
'Antonios Papadopoulos';'GER';'MF,FW';'Dortmund';22;1999;2;0;10;0.1;0;0;0;0;0;0;0;;''Antonios Papadopoulos'';''GER'';''MF,FW'';''Dortmund'';;;;;;;;;
'Leandro Paredes';'ARG';'MF';'Juventus';28;1994;4;4;354;3.9;0;1;1;1;0;0.1;0.2;;''Leandro Paredes'';''ARG'';''MF'';''Juventus'';;;;;;;;;
'Felix Passlack';'GER';'DF';'Dortmund';24;1998;1;1;90;1;0;1;1;0;0;0;0;;''Felix Passlack'';''GER'';''DF'';''Dortmund'';;;;;;;;;
'Remko Pasveer';'NED';'GK';'Ajax';38;1983;6;6;540;6;0;0;0;0;0;0;0;;''Remko Pasveer'';''NED'';''GK'';''Ajax'';;;;;;;;;
'Paulinho';'POR';'FW';'Sporting CP';29;1992;5;2;236;2.6;1;0;1;1;0;0.3;0.1;;''Paulinho'';''POR'';''FW'';''Sporting CP'';;;;;;;;;
'Paulinho';'BRA';'FW';'Leverkusen';22;2000;2;0;49;0.5;0;0;0;1;0;0.3;0.1;;''Paulinho'';''BRA'';''FW'';''Leverkusen'';;;;;;;;;
'Benjamin Pavard';'FRA';'DF';'Bayern Munich';26;1996;9;7;592;6.6;2;0;2;4;1;1.1;0.2;;''Benjamin Pavard'';''FRA'';''DF'';''Bayern Munich'';;;;;;;;;
'Strahinja Pavlovic';'SRB';'DF';'RB Salzburg';21;2001;6;6;540;6;0;0;0;2;0;0.3;0.2;;''Strahinja Pavlovic'';''SRB'';''DF'';''RB Salzburg'';;;;;;;;;
'Dimitri Payet';'FRA';'MF';'Marseille';35;1987;2;1;77;0.9;0;0;0;0;0;0.1;0.1;;''Dimitri Payet'';''FRA'';''MF'';''Marseille'';;;;;;;;;
'Pedri';'ESP';'MF,FW';'Barcelona';19;2002;5;5;401;4.5;0;0;0;0;0;0.9;0.8;;''Pedri'';''ESP'';''MF,FW'';''Barcelona'';;;;;;;;;
'Luca Pellegrini';'ITA';'DF,MF';'Eint Frankfurt';23;1999;4;1;201;2.2;0;0;0;1;0;0.1;0.1;;''Luca Pellegrini'';''ITA'';''DF,MF'';''Eint Frankfurt'';;;;;;;;;
'Iñaki Peña';'ESP';'GK';'Barcelona';23;1999;1;1;90;1;0;0;0;0;0;0;0;;''Iñaki Peña'';''ESP'';''GK'';''Barcelona'';;;;;;;;;
'Pepe';'POR';'DF';'Porto';39;1983;4;4;360;4;0;0;0;0;0;0;0;;''Pepe'';''POR'';''DF'';''Porto'';;;;;;;;;
'Pepe';'BRA';'DF,FW';'Porto';25;1997;8;8;685;7.6;0;0;0;4;1;0.3;1.2;;''Pepe'';''BRA'';''DF,FW'';''Porto'';;;;;;;;;
'Danilo Pereira';'POR';'DF,MF';'Paris S-G';30;1991;7;5;450;5;0;0;0;0;0;0;0;;''Danilo Pereira'';''POR'';''DF,MF'';''Paris S-G'';;;;;;;;;
'Dino Peric';'CRO';'DF';'Dinamo Zagreb';28;1994;6;6;540;6;0;0;0;0;0;0;0.1;;''Dino Peric'';''CRO'';''DF'';''Dinamo Zagreb'';;;;;;;;;
'Mattia Perin';'ITA';'GK';'Juventus';29;1992;2;2;180;2;0;0;0;1;0;0;0;;''Mattia Perin'';''ITA'';''GK'';''Juventus'';;;;;;;;;
'Ivan Perisic';'CRO';'DF,MF';'Tottenham';33;1989;7;7;572;6.4;0;3;3;0;0;0.2;1.3;;''Ivan Perisic'';''CRO'';''DF,MF'';''Tottenham'';;;;;;;;;
'Ludek Pernica';'CZE';'DF';'Viktoria Plzen';32;1990;6;5;495;5.5;0;0;0;2;0;0.3;0;;''Ludek Pernica'';''CZE'';''DF'';''Viktoria Plzen'';;;;;;;;;
'Bruno Petkovic';'CRO';'FW';'Dinamo Zagreb';27;1994;6;6;490;5.4;1;2;3;1;0;0.5;1.1;;''Bruno Petkovic'';''CRO'';''FW'';''Dinamo Zagreb'';;;;;;;;;
'Ivan Petryak';'UKR';'MF';'Shakhtar';28;1994;6;1;180;2;0;0;0;0;0;0.1;0.1;;''Ivan Petryak'';''UKR'';''MF'';''Shakhtar'';;;;;;;;;
'Kalvin Phillips';'ENG';'MF';'Manchester City';26;1995;3;0;41;0.5;0;0;0;0;0;0;0;;''Kalvin Phillips'';''ENG'';''MF'';''Manchester City'';;;;;;;;;
'Frantzdy Pierrot';'HAI';'FW';'Maccabi Haifa';27;1995;6;6;481;5.3;0;2;2;1;0;0.7;0.4;;''Frantzdy Pierrot'';''HAI'';''FW'';''Maccabi Haifa'';;;;;;;;;
'Vaclav Pilar';'CZE';'FW,MF';'Viktoria Plzen';33;1988;5;1;123;1.4;0;0;0;0;0;0.3;0;;''Vaclav Pilar'';''CZE'';''FW,MF'';''Viktoria Plzen'';;;;;;;;;
'Rodrigo Pinho';'BRA';'FW';'Benfica';31;1991;2;0;15;0.2;0;0;0;0;0;0;0;;''Rodrigo Pinho'';''BRA'';''FW'';''Benfica'';;;;;;;;;
'Gerard Pique';'ESP';'DF';'Barcelona';35;1987;4;2;258;2.9;0;0;0;0;0;0;0;;''Gerard Pique'';''ESP'';''DF'';''Barcelona'';;;;;;;;;
'Tommaso Pobega';'ITA';'MF';'Milan';23;1999;8;0;163;1.8;1;0;1;1;0;0.6;0.1;;''Tommaso Pobega'';''ITA'';''MF'';''Milan'';;;;;;;;;
'Suf Podgoreanu';'ISR';'DF';'Maccabi Haifa';20;2002;1;0;12;0.1;0;0;0;0;0;0;0;;''Suf Podgoreanu'';''ISR'';''DF'';''Maccabi Haifa'';;;;;;;;;
'Matteo Politano';'ITA';'FW';'Napoli';28;1993;9;6;403;4.5;1;1;2;2;0;1.2;0.6;;''Matteo Politano'';''ITA'';''FW'';''Napoli'';;;;;;;;;
'Pedro Porro';'ESP';'DF,MF';'Sporting CP';22;1999;5;4;392;4.4;0;1;1;1;0;0.1;0.5;;''Pedro Porro'';''ESP'';''DF,MF'';''Sporting CP'';;;;;;;;;
'Pedro Porro';'ESP';'DF';'Tottenham';22;1999;1;0;38;0.4;0;0;0;0;0;0.1;0.2;;''Pedro Porro'';''ESP'';''DF'';''Tottenham'';;;;;;;;;
'Yussuf Poulsen';'DEN';'FW,MF';'RB Leipzig';28;1994;5;0;72;0.8;0;0;0;0;0;0;0;;''Yussuf Poulsen'';''DEN'';''FW,MF'';''RB Leipzig'';;;;;;;;;
'Christian Pulisic';'USA';'DF,FW';'Chelsea';23;1998;5;1;113;1.3;0;1;1;0;0;0.2;1;;''Christian Pulisic'';''USA'';''DF,FW'';''Chelsea'';;;;;;;;;
'Adrien Rabiot';'FRA';'MF';'Juventus';27;1995;5;5;446;5;2;0;2;0;0;0.6;0.1;;''Adrien Rabiot'';''FRA'';''MF'';''Juventus'';;;;;;;;;
'Ivan Rakitic';'CRO';'MF';'Sevilla';34;1988;6;6;418;4.6;0;1;1;0;0;0.2;0.2;;''Ivan Rakitic'';''CRO'';''MF'';''Sevilla'';;;;;;;;;
'Goncalo Ramos';'POR';'FW';'Benfica';21;2001;10;10;712;7.9;3;1;4;2;0;3.8;0.7;;''Goncalo Ramos'';''POR'';''FW'';''Benfica'';;;;;;;;;
'Sergio Ramos';'ESP';'DF';'Paris S-G';36;1986;8;8;720;8;0;0;0;2;0;0.3;0;;''Sergio Ramos'';''ESP'';''DF'';''Paris S-G'';;;;;;;;;
'Calvin Ramsay';'SCO';'DF';'Liverpool';19;2003;1;0;4;0;0;0;0;0;0;0;0;;''Calvin Ramsay'';''SCO'';''DF'';''Liverpool'';;;;;;;;;
'Raphinha';'BRA';'FW';'Barcelona';25;1996;5;4;294;3.3;0;2;2;0;0;0.5;1.1;;''Raphinha'';''BRA'';''FW'';''Barcelona'';;;;;;;;;
'Giacomo Raspadori';'ITA';'FW';'Napoli';22;2000;7;3;250;2.8;4;3;7;1;0;1;0.6;;''Giacomo Raspadori'';''ITA'';''FW'';''Napoli'';;;;;;;;;
'David Raum';'GER';'DF';'RB Leipzig';24;1998;8;6;531;5.9;0;0;0;0;0;0;0.8;;''David Raum'';''GER'';''DF'';''RB Leipzig'';;;;;;;;;
'Ante Rebic';'CRO';'FW,MF';'Milan';28;1993;7;2;249;2.8;0;0;0;0;0;0.8;0.4;;''Ante Rebic'';''CRO'';''FW,MF'';''Milan'';;;;;;;;;
'Matheus Reis';'BRA';'DF';'Sporting CP';27;1995;6;5;509;5.7;0;0;0;2;0;0.1;0.2;;''Matheus Reis'';''BRA'';''DF'';''Sporting CP'';;;;;;;;;
'Karim Rekik';'NED';'DF';'Sevilla';27;1994;1;1;90;1;0;0;0;0;0;0;0;;''Karim Rekik'';''NED'';''DF'';''Sevilla'';;;;;;;;;
'Devyne Rensch';'NED';'DF';'Ajax';19;2003;4;3;287;3.2;0;0;0;1;0;0.5;0;;''Devyne Rensch'';''NED'';''DF'';''Ajax'';;;;;;;;;
'Marco Reus';'GER';'MF,FW';'Dortmund';33;1989;3;3;262;2.9;1;1;2;0;0;0.9;0.8;;''Marco Reus'';''GER'';''MF,FW'';''Dortmund'';;;;;;;;;
'Gio Reyna';'USA';'FW,MF';'Dortmund';19;2002;6;3;383;4.3;0;2;2;0;0;0.2;1.1;;''Gio Reyna'';''USA'';''FW,MF'';''Dortmund'';;;;;;;;;
'Richarlison';'BRA';'MF,FW';'Tottenham';25;1997;6;4;365;4.1;2;0;2;0;0;1.2;0.8;;''Richarlison'';''BRA'';''MF,FW'';''Tottenham'';;;;;;;;;
'Stefan Ristovski';'MKD';'DF';'Dinamo Zagreb';30;1992;5;5;370;4.1;0;0;0;1;0;0.1;0.1;;''Stefan Ristovski'';''MKD'';''DF'';''Dinamo Zagreb'';;;;;;;;;
'Mats Rits';'BEL';'MF';'Club Brugge';29;1993;1;0;17;0.2;0;0;0;0;0;0;0;;''Mats Rits'';''BEL'';''MF'';''Club Brugge'';;;;;;;;;
'Sergi Roberto';'ESP';'DF';'Barcelona';30;1992;3;3;206;2.3;0;2;2;1;0;0.1;0.8;;''Sergi Roberto'';''ESP'';''DF'';''Barcelona'';;;;;;;;;
'Andrew Robertson';'SCO';'DF';'Liverpool';28;1994;5;4;378;4.2;0;2;2;0;0;0.1;0.5;;''Andrew Robertson'';''SCO'';''DF'';''Liverpool'';;;;;;;;;
'Rochinha';'POR';'MF,FW';'Sporting CP';27;1995;1;0;18;0.2;0;0;0;0;0;0;0.1;;''Rochinha'';''POR'';''MF,FW'';''Sporting CP'';;;;;;;;;
'Sebastian Rode';'GER';'MF';'Eint Frankfurt';31;1990;6;3;299;3.3;0;1;1;0;0;0.2;0.8;;''Sebastian Rode'';''GER'';''MF'';''Eint Frankfurt'';;;;;;;;;
'Rodri';'ESP';'MF';'Manchester City';26;1996;12;11;995;11.1;2;0;2;1;0;0.9;0.6;;''Rodri'';''ESP'';''MF'';''Manchester City'';;;;;;;;;
'Rodrygo';'BRA';'FW';'Real Madrid';21;2001;12;10;819;9.1;5;2;7;0;0;4.5;1.5;;''Rodrygo'';''BRA'';''FW'';''Real Madrid'';;;;;;;;;
'Cristian Romero';'ARG';'DF';'Tottenham';24;1998;7;7;598;6.6;0;0;0;4;1;0.3;0.1;;''Cristian Romero'';''ARG'';''DF'';''Tottenham'';;;;;;;;;
'Valentin Rongier';'FRA';'MF';'Marseille';27;1994;6;5;471;5.2;0;0;0;0;0;0.4;0.1;;''Valentin Rongier'';''FRA'';''MF'';''Marseille'';;;;;;;;;
'Tom Rothe';'GER';'DF';'Dortmund';17;2004;3;1;61;0.7;0;0;0;0;0;0;0;;''Tom Rothe'';''GER'';''DF'';''Dortmund'';;;;;;;;;
'Amir Rrahmani';'KVX';'DF';'Napoli';28;1994;7;7;613;6.8;0;0;0;2;0;0.2;0;;''Amir Rrahmani'';''KVX'';''DF'';''Napoli'';;;;;;;;;
'Antonio Rudiger';'GER';'DF';'Real Madrid';29;1993;10;6;678;7.5;1;0;1;0;0;0.3;0.4;;''Antonio Rudiger'';''GER'';''DF'';''Real Madrid'';;;;;;;;;
'Daniele Rugani';'ITA';'DF';'Juventus';28;1994;1;1;90;1;0;0;0;0;0;0.1;0;;''Daniele Rugani'';''ITA'';''DF'';''Juventus'';;;;;;;;;
'Mario Rui';'POR';'DF';'Napoli';31;1991;6;5;386;4.3;0;1;1;1;0;0.4;0.4;;''Mario Rui'';''POR'';''DF'';''Napoli'';;;;;;;;;
'Fabian Ruiz ';'ESP';'MF';'Paris S-G';26;1996;7;3;238;2.6;0;0;0;1;0;0.3;0.2;;''Fabian Ruiz '';''ESP'';''MF'';''Paris S-G'';;;;;;;;;
'Nikita Rukavytsya';'AUS';'FW,MF';'Maccabi Haifa';35;1987;6;0;47;0.5;0;0;0;0;0;0.1;0;;''Nikita Rukavytsya'';''AUS'';''FW,MF'';''Maccabi Haifa'';;;;;;;;;
'Mathew Ryan';'AUS';'GK';'FC Copenhagen';30;1992;2;2;180;2;0;0;0;0;0;0;0;;''Mathew Ryan'';''AUS'';''GK'';''FC Copenhagen'';;;;;;;;;
'Julian Ryerson';'NOR';'DF';'Dortmund';24;1997;1;0;18;0.2;0;0;0;1;0;0;0;;''Julian Ryerson'';''NOR'';''DF'';''Dortmund'';;;;;;;;;
'Marcel Sabitzer';'AUT';'MF';'Bayern Munich';28;1994;6;3;280;3.1;0;0;0;3;0;0.6;0.1;;''Marcel Sabitzer'';''AUT'';''MF'';''Bayern Munich'';;;;;;;;;
'Alexis Saelemaekers';'BEL';'FW,DF';'Milan';23;1999;8;4;371;4.1;2;0;2;1;0;0.5;0.3;;''Alexis Saelemaekers'';''BEL'';''FW,DF'';''Milan'';;;;;;;;;
'Fashion Sakala';'ZAM';'FW,MF';'Rangers';25;1997;4;2;235;2.6;0;0;0;0;0;0.5;0.1;;''Fashion Sakala'';''ZAM'';''FW,MF'';''Rangers'';;;;;;;;;
'Mohamed Salah';'EGY';'FW';'Liverpool';30;1992;8;7;624;6.9;8;2;10;0;0;4;2.5;;''Mohamed Salah'';''EGY'';''FW'';''Liverpool'';;;;;;;;;
'Renato Sanches';'POR';'MF';'Paris S-G';24;1997;3;1;141;1.6;0;0;0;0;0;0;0;;''Renato Sanches'';''POR'';''MF'';''Paris S-G'';;;;;;;;;
'Alexis Sanchez';'CHI';'FW';'Marseille';33;1988;5;5;418;4.6;2;1;3;0;0;2.8;0.8;;''Alexis Sanchez'';''CHI'';''FW'';''Marseille'';;;;;;;;;
'Davinson Sanchez';'COL';'DF';'Tottenham';26;1996;2;0;21;0.2;0;0;0;0;0;0;0;;''Davinson Sanchez'';''COL'';''DF'';''Tottenham'';;;;;;;;;
'Cisse Sandra';'BEL';'FW';'Club Brugge';18;2003;1;0;8;0.1;0;0;0;0;0;0;0;;''Cisse Sandra'';''BEL'';''FW'';''Club Brugge'';;;;;;;;;
'Alex Sandro';'BRA';'DF';'Juventus';31;1991;4;2;239;2.7;0;0;0;1;0;0;0;;''Alex Sandro'';''BRA'';''DF'';''Juventus'';;;;;;;;;
'James Sands';'USA';'DF,MF';'Rangers';22;2000;4;4;324;3.6;0;0;0;2;1;0;0;;''James Sands'';''USA'';''DF,MF'';''Rangers'';;;;;;;;;
'Leroy Sane';'GER';'FW,MF';'Bayern Munich';26;1996;8;7;552;6.1;4;1;5;0;0;2.5;1.9;;''Leroy Sane'';''GER'';''FW,MF'';''Bayern Munich'';;;;;;;;;
'Nuno Santos';'POR';'DF,MF';'Sporting CP';27;1995;6;5;295;3.3;1;0;1;1;0;0.3;0.3;;''Nuno Santos'';''POR'';''DF,MF'';''Sporting CP'';;;;;;;;;
'Zaidu Sanusi';'NGA';'DF';'Porto';25;1997;8;7;585;6.5;1;0;1;0;0;0.3;0;;''Zaidu Sanusi'';''NGA'';''DF'';''Porto'';;;;;;;;;
'Alvaro Sanz';'ESP';'MF';'Barcelona';21;2001;1;0;14;0.2;0;0;0;0;0;0;0;;''Alvaro Sanz'';''ESP'';''MF'';''Barcelona'';;;;;;;;;
'Pablo Sarabia';'ESP';'MF';'Paris S-G';30;1992;3;1;91;1;0;0;0;1;0;0.1;0.1;;''Pablo Sarabia'';''ESP'';''MF'';''Paris S-G'';;;;;;;;;
'Stefan Savic';'MNE';'DF';'Atletico Madrid';31;1991;3;3;270;3;0;0;0;3;0;0;0.1;;''Stefan Savic'';''MNE'';''DF'';''Atletico Madrid'';;;;;;;;;
'Patrik Schick';'CZE';'FW';'Leverkusen';26;1996;5;5;446;5;0;0;0;0;0;2.5;0.1;;''Patrik Schick'';''CZE'';''FW'';''Leverkusen'';;;;;;;;;
'Andreas Schjelderup';'NOR';'FW';'Benfica';18;2004;1;0;2;0;0;0;0;0;0;0;0;;''Andreas Schjelderup'';''NOR'';''FW'';''Benfica'';;;;;;;;;
'Xaver Schlager';'AUT';'MF';'RB Leipzig';24;1997;7;7;583;6.5;0;0;0;1;0;0.1;0.1;;''Xaver Schlager'';''AUT'';''MF'';''RB Leipzig'';;;;;;;;;
'Nico Schlotterbeck';'GER';'DF';'Dortmund';22;1999;8;6;561;6.2;0;0;0;0;0;0;0.2;;''Nico Schlotterbeck'';''GER'';''DF'';''Dortmund'';;;;;;;;;
'Abdoulaye Seck';'SEN';'DF';'Maccabi Haifa';30;1992;6;4;397;4.4;2;0;2;2;0;0.4;0;;''Abdoulaye Seck'';''SEN'';''DF'';''Maccabi Haifa'';;;;;;;;;
'Nicolas Seiwald';'AUT';'MF';'RB Salzburg';21;2001;6;6;540;6;1;0;1;0;0;0.4;0.6;;''Nicolas Seiwald'';''AUT'';''MF'';''RB Salzburg'';;;;;;;;;
'Benjamin Sesko';'SVN';'FW';'RB Salzburg';19;2003;6;3;330;3.7;0;0;0;0;0;1.2;0.1;;''Benjamin Sesko'';''SVN'';''FW'';''RB Salzburg'';;;;;;;;;
